dataset=circle, stage=pre, no pruning, n=1.0 : train acc = 100.00
dataset=circle, stage=pre, no pruning, n=1.0 : train acc = 100.00
dataset=circle, stage=pre, no pruning, n=1.0 : train acc = 100.00
dataset=circle, stage=pre, no pruning, n=1.0 : train acc = 100.00
dataset=circle, stage=pre, no pruning, n=1.0 : train acc = 100.00
dataset=circle, stage=pre, no pruning, n=1.0 : train acc = 100.00
dataset=circle, stage=pre, no pruning, n=1.0 : train acc = 100.00

dataset=circle, stage=post, crit=grad, n=1.0 : train acc = 69.21
dataset=circle, stage=post, crit=grad, n=5.0 : train acc = 82.23
dataset=circle, stage=post, crit=grad, n=10.0 : train acc = 83.89
dataset=circle, stage=post, crit=grad, n=20.0 : train acc = 85.36
dataset=circle, stage=post, crit=grad, n=50.0 : train acc = 85.90
dataset=circle, stage=post, crit=grad, n=100.0 : train acc = 90.88
dataset=circle, stage=post, crit=grad, n=200.0 : train acc = 92.51

dataset=circle, stage=post, crit=lrp, n=1.0 : train acc = 70.23
dataset=circle, stage=post, crit=lrp, n=5.0 : train acc = 99.98
dataset=circle, stage=post, crit=lrp, n=10.0 : train acc = 99.99
dataset=circle, stage=post, crit=lrp, n=20.0 : train acc = 100.00
dataset=circle, stage=post, crit=lrp, n=50.0 : train acc = 100.00
dataset=circle, stage=post, crit=lrp, n=100.0 : train acc = 100.00
dataset=circle, stage=post, crit=lrp, n=200.0 : train acc = 100.00

dataset=circle, stage=post, crit=taylor, n=1.0 : train acc = 68.35
dataset=circle, stage=post, crit=taylor, n=5.0 : train acc = 87.18
dataset=circle, stage=post, crit=taylor, n=10.0 : train acc = 90.47
dataset=circle, stage=post, crit=taylor, n=20.0 : train acc = 91.87
dataset=circle, stage=post, crit=taylor, n=50.0 : train acc = 91.94
dataset=circle, stage=post, crit=taylor, n=100.0 : train acc = 97.04
dataset=circle, stage=post, crit=taylor, n=200.0 : train acc = 97.42

dataset=circle, stage=post, crit=weight, n=1.0 : train acc = 97.10
dataset=circle, stage=post, crit=weight, n=5.0 : train acc = 97.10
dataset=circle, stage=post, crit=weight, n=10.0 : train acc = 97.10
dataset=circle, stage=post, crit=weight, n=20.0 : train acc = 97.10
dataset=circle, stage=post, crit=weight, n=50.0 : train acc = 97.10
dataset=circle, stage=post, crit=weight, n=100.0 : train acc = 97.10
dataset=circle, stage=post, crit=weight, n=200.0 : train acc = 97.10

Saving result figure to output/circle-train.svg
dataset=circle, stage=pre, no pruning, n=1.0 : test acc = 100.00
dataset=circle, stage=pre, no pruning, n=1.0 : test acc = 100.00
